Show_Id,Title,Type,Director,Cast,Category,Country,Duration,Duration_type,DURATION_VALUE,Duration1,Rating,Age Group,Year,Quarter,Month,Day
s1,3%,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Unknown,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",TV Show,Brazil,4 Seasons,Seasons,4,4 seasons,TV-MA,ADULTS,2020,Qtr 3,August,14
s10,1920,"Horror Movies, International Movies, Thrillers",Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",Movie,India,143 min,Minutes,143,143 min,TV-MA,ADULTS,2017,Qtr 4,December,15
s100,3 Heroines,"Dramas, International Movies, Sports Movies",Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",Movie,Indonesia,124 min,Minutes,124,124 min,TV-PG,TEENS,2019,Qtr 1,January,5
s1000,Blue Mountain State: The Rise of Thadland,Comedies,Lev L. Spiro,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",Movie,United States,90 min,Minutes,90,90 min,R,ADULTS,2016,Qtr 1,March,1
s1001,Blue Planet II,"British TV Shows, Docuseries, Science & Nature TV",Unknown,David Attenborough,TV Show,United Kingdom,1 Season,Seasons,1,1 season,TV-G,KIDS,2018,Qtr 4,December,3
s1002,Blue Ruin,"Independent Movies, Thrillers",Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson",Movie,"United States, France",90 min,Minutes,90,90 min,R,ADULTS,2019,Qtr 1,February,25
s1003,Blue Streak,"Action & Adventure, Comedies",Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe",Movie,"Germany, United States",94 min,Minutes,94,94 min,PG-13,TEENS,2021,Qtr 1,January,1
s1004,Blue Valentine,"Dramas, Independent Movies, Romantic Movies",Derek Cianfrance,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",Movie,United States,112 min,Minutes,112,112 min,R,ADULTS,2018,Qtr 3,July,5
s1005,BluffMaster!,"Comedies, International Movies, Romantic Movies",Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh, Boman Irani, Nana Patekar, Sanjay Mishra, Tinnu Anand, Hussain Shaikh",Movie,India,129 min,Minutes,129,129 min,TV-14,TEENS,2021,Qtr 1,January,8
s1006,Blurred Lines: Inside the Art World,Documentaries,Barry Avrich,Unknown,Movie,Canada,85 min,Minutes,85,85 min,TV-MA,ADULTS,2017,Qtr 4,December,31
